Date,V,MA,spread,anchor,anchor_var,residual,signal_vol,zscore,position,gross_return,transaction_cost,net_return,equity,turnover
2016-05-05,72.6521,92.5566,6.217997916337481,6.725686701778237,0.881229244637041,-0.5076887854407559,1.2331892699145075,-0.4116876442461684,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-06,72.9892,93.0271,6.269464237377889,6.711485988673098,0.881229244637041,-0.4420217512952087,1.1858489492184228,-0.372747095307998,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-09,73.4582,93.0659,6.714909324001425,6.711592545904829,0.881229244637041,0.003316778096595918,1.1282102406454515,0.0029398581727979904,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-10,74.3797,93.9522,7.098349537259907,6.723631026041617,0.881229244637041,0.3747185112182896,1.076965925815311,0.34793905938538494,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-11,72.7263,92.7669,6.164527857495386,6.7062279731184455,0.881229244637041,-0.5417001156230592,1.042599157117134,-0.5195669993834459,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-05-12,73.2822,92.2276,7.047829011720481,6.716860896142043,0.881229244637041,0.33096811557843786,0.9955477469171646,0.33244825936608374,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-13,72.2826,91.7571,6.333862690680064,6.704939414715876,0.881229244637041,-0.37107672403581216,0.9561682339257069,-0.3880872746758123,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-05-16,73.1953,92.5177,6.784813538253587,6.707425634929461,0.881229244637041,0.07738790332412648,0.909625378715182,0.08507667566777273,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-17,72.2465,91.9884,6.157343838515658,6.6903033878136835,0.881229244637041,-0.5329595492980257,0.8817715684215187,-0.6044190676867591,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-05-18,72.8465,92.0162,6.740466864498501,6.691864812768269,0.881229244637041,0.048602051730231466,0.8390031643326906,0.05792832947047057,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-19,72.3286,91.1221,6.765361917331134,6.694152537239109,0.881229244637041,0.07120938009202504,0.7984780219268655,0.08918139026567633,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-20,73.0681,91.8638,7.054586678894751,6.705371673161484,0.881229244637041,0.34921500573326636,0.767052433796151,0.45526875392989424,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-23,72.6402,91.4869,6.85549716476055,6.710044588684766,0.881229244637041,0.1454525760757841,0.7304879559961501,0.1991170078600867,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-05-24,74.6796,92.8347,8.07666746762618,6.752583088958473,0.881229244637041,1.324084378667707,0.7954917056839211,1.6644854612649043,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
2016-05-25,74.3797,92.8058,7.794312235579284,6.785008710006895,0.881229244637041,1.0093035255723883,0.7986771355446927,1.263719068261607,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-05-26,74.323,92.738,7.778772625448482,6.815941330293303,0.881229244637041,0.962831295155179,0.7901565894877759,1.2185322605223612,0.0,-0.0,0.0,-0.0,1.2291196148201444,0.0
2016-05-27,74.9456,93.5075,7.934220412994932,6.850749700472524,0.881229244637041,1.0834707125224083,0.7868544047172529,1.3769646659241124,0.0,0.0,0.0,0.0,1.2291196148201444,0.0
