process_var_multiplier,entry_z,exit_z,vol_span,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,active_day_ratio
5e-05,1.25,0.0,60,0.01807379238956086,0.05994786807568856,0.32871608138868613,-0.11263588759474785,0.1646231850591715,32.0,0.8027052238805971
5e-05,1.25,0.25,10,0.015826524136192788,0.06123843487919288,0.2869825414474868,-0.1126358875947493,0.14293171827165363,54.5,0.8745335820895522
5e-05,1.25,0.25,20,0.017648848100428438,0.06038053591989144,0.31988047801925135,-0.11263588759474841,0.16049383220486835,50.5,0.8488805970149254
5e-05,1.25,0.25,40,0.016637492329257375,0.05974347313404391,0.3060072439716996,-0.1126358875947494,0.15071800955450865,43.5,0.8138992537313433
5e-05,1.25,0.25,60,0.013789381054597039,0.05900637779016594,0.2615393198053056,-0.1126358875947494,0.12357735150824678,35.0,0.7868470149253731
5e-05,1.25,0.5,10,0.014080492194635585,0.06046346284983704,0.26142758997190985,-0.11263588759474918,0.12632528675113952,59.5,0.8684701492537313
5e-05,1.25,0.5,20,0.017162744393769858,0.05991438880819366,0.3139259705579852,-0.11263588759474974,0.15578601698099925,54.5,0.840018656716418
5e-05,1.25,0.5,40,0.014068354906048741,0.057901023325995796,0.27016883465125624,-0.11263588759474918,0.12621059879541496,49.5,0.7835820895522388
5e-05,1.25,0.5,60,0.011223089049111845,0.05668662790825212,0.22515971585587202,-0.1126358875947483,0.099607705101866,42.0,0.7430037313432836
5e-05,1.25,0.75,10,0.014073125032824985,0.0599008231779256,0.2631955978685409,-0.11263588759474952,0.12625567156143314,71.5,0.8610074626865671
5e-05,1.25,0.75,20,0.01444974334074045,0.057653925915593214,0.2776018777472649,-0.11263588759474952,0.12981935354691765,69.5,0.8120335820895522
5e-05,1.25,0.75,40,0.013578185352173033,0.055903770763331355,0.2691397876070159,-0.11263588759474819,0.12158748042406975,62.5,0.7490671641791045
5e-05,1.25,0.75,60,0.01015697449662989,0.055398904259821156,0.21004915363927032,-0.1126358875947473,0.0897834277659284,54.0,0.7019589552238806
5e-05,1.5,0.0,10,0.0173096861205575,0.0609373243431251,0.312040849509789,-0.11263588759474852,0.1572073370927558,40.5,0.8600746268656716
5e-05,1.5,0.0,20,0.020136274326026715,0.05944649022700488,0.3650375002068697,-0.11263588759475018,0.1848498995534016,37.5,0.8190298507462687
5e-05,1.5,0.0,40,0.02261661906454182,0.05900074657841721,0.40850210739271187,-0.11245299071823611,0.20958468767788352,30.5,0.7709888059701493
